,Data_loading_csv,Data_loading_json,Data_loading_parquet,Count_per_column,Mean_per_column,Median_per_column,Max_per_column,Min_per_column,Sum_per_column,Standard_deviation_per_column,Summary,Filter,Avg_addition_2_columns,Sum_addition_2_columns,Product_addition_2_columns,Add_new_column,Add_new_column_comparing_size,GroupBy,Distinct,Number_distinct_values,Join_raw,Join
1/1,0.009595394134521484,0.03248405456542969,0.18379998207092285,0.0036933422088623047,0.001802682876586914,0.007361888885498047,0.000659942626953125,0.0005388259887695312,0.0006060600280761719,0.0008640289306640625,0.01794910430908203,0.0031478404998779297,0.0011589527130126953,0.0004899501800537109,0.000469207763671875,0.0017275810241699219,0.004557132720947266,0.010666608810424805,0.0006732940673828125,0.0037403106689453125,0.007678508758544922,0.01777052879333496
1/10,0.004608154296875,0.007827520370483398,0.004174709320068359,0.0014927387237548828,0.0006473064422607422,0.001958608627319336,0.0004870891571044922,0.00045013427734375,0.0005223751068115234,0.0006897449493408203,0.012355566024780273,0.0019104480743408203,0.0007307529449462891,0.0003581047058105469,0.0003528594970703125,0.0011525154113769531,0.0019762516021728516,0.005360126495361328,0.0002167224884033203,0.002218484878540039,0.007345676422119141,0.02151012420654297
1/100,0.0073146820068359375,0.014505386352539062,0.004080295562744141,0.0018656253814697266,0.0009119510650634766,0.002445697784423828,0.0008578300476074219,0.0007359981536865234,0.0007872581481933594,0.0011484622955322266,0.017506837844848633,0.0024042129516601562,0.001445770263671875,0.0004849433898925781,0.00044083595275878906,0.0014278888702392578,0.0025634765625,0.005809783935546875,0.0002262592315673828,0.0023450851440429688,0.0051996707916259766,0.021373271942138672
1/1000,0.006607532501220703,0.014351606369018555,0.003949880599975586,0.001476287841796875,0.0006895065307617188,0.0025861263275146484,0.0005309581756591797,0.0005145072937011719,0.0005741119384765625,0.000911712646484375,0.012523412704467773,0.0019638538360595703,0.0008091926574707031,0.0003948211669921875,0.00036978721618652344,0.0015048980712890625,0.0022668838500976562,0.005518913269042969,0.00027298927307128906,0.0024836063385009766,0.00968480110168457,0.02100515365600586
1/10000,0.0227968692779541,0.06953167915344238,0.005414247512817383,0.002101421356201172,0.0014667510986328125,0.008922815322875977,0.0008404254913330078,0.0007429122924804688,0.0007996559143066406,0.002319812774658203,0.018105745315551758,0.0032758712768554688,0.0011112689971923828,0.0004456043243408203,0.0004172325134277344,0.0016164779663085938,0.004740238189697266,0.007399320602416992,0.0004544258117675781,0.0047626495361328125,0.03998851776123047,0.021892070770263672
1/100000,0.15456223487854004,0.5884361267089844,0.02245020866394043,0.008651018142700195,0.009329795837402344,0.09030318260192871,0.0037641525268554688,0.0037419795989990234,0.004466056823730469,0.0323483943939209,0.05339646339416504,0.014147758483886719,0.008232355117797852,0.002928495407104492,0.003177165985107422,0.005913257598876953,0.03508448600769043,0.02163100242614746,0.003872394561767578,0.0319056510925293,0.44478297233581543,0.0368800163269043
1/1000000,1.3574976921081543,5.460065126419067,0.21735334396362305,0.07353758811950684,0.08446478843688965,0.9270110130310059,0.033847808837890625,0.0335237979888916,0.04043078422546387,0.33832597732543945,0.4091928005218506,0.12524890899658203,0.06957507133483887,0.0379638671875,0.025151491165161133,0.05383634567260742,0.3823230266571045,0.19857025146484375,0.02832174301147461,0.26166367530822754,4.071607351303101,0.17794537544250488
1/10000000,13.075347900390625,,2.398563861846924,0.7564866542816162,0.8556151390075684,9.105224609375,0.3322031497955322,0.3755459785461426,0.4338977336883545,2.991652488708496,3.619706630706787,1.1549742221832275,0.6118929386138916,0.20564031600952148,0.22535109519958496,0.4427022933959961,3.325526237487793,1.6779296398162842,0.2590482234954834,2.1756463050842285,,1.6905663013458252
5/1,0.005511283874511719,0.008746147155761719,0.006783246994018555,0.0015225410461425781,0.0006482601165771484,0.002083301544189453,0.0005090236663818359,0.00046634674072265625,0.0005369186401367188,0.0008206367492675781,0.03515338897705078,0.0032918453216552734,0.0012853145599365234,0.0005986690521240234,0.0005359649658203125,0.0015947818756103516,0.003326416015625,0.009257316589355469,0.00022268295288085938,0.002992868423461914,0.004972934722900391,0.014547348022460938
5/10,0.005022764205932617,0.012820720672607422,0.00668025016784668,0.0014295578002929688,0.0006089210510253906,0.0018639564514160156,0.0005030632019042969,0.0004444122314453125,0.00052642822265625,0.0006866455078125,0.04250073432922363,0.001999378204345703,0.0008635520935058594,0.0003745555877685547,0.00035452842712402344,0.0012214183807373047,0.001947164535522461,0.005246639251708984,0.0002167224884033203,0.0030417442321777344,0.004963397979736328,0.017463207244873047
5/100,0.005145072937011719,0.009728431701660156,0.0066089630126953125,0.0014302730560302734,0.0006506443023681641,0.0020945072174072266,0.0005133152008056641,0.00045490264892578125,0.0005345344543457031,0.0007889270782470703,0.03430962562561035,0.002087831497192383,0.0008902549743652344,0.0003609657287597656,0.0003578662872314453,0.0011985301971435547,0.0020742416381835938,0.006173372268676758,0.0002636909484863281,0.005635976791381836,0.007297039031982422,0.01915597915649414
5/1000,0.00978398323059082,0.02328658103942871,0.007266521453857422,0.0042340755462646484,0.001665353775024414,0.006028413772583008,0.001447916030883789,0.0010013580322265625,0.0009632110595703125,0.0015540122985839844,0.040239572525024414,0.0023069381713867188,0.0009002685546875,0.0003814697265625,0.00037550926208496094,0.0012395381927490234,0.0021948814392089844,0.0059244632720947266,0.0002727508544921875,0.0035636425018310547,0.008715152740478516,0.014899730682373047
5/10000,0.05234241485595703,0.13654661178588867,0.011382579803466797,0.002226591110229492,0.0022020339965820312,0.015190839767456055,0.0009567737579345703,0.0008876323699951172,0.0009629726409912109,0.0066759586334228516,0.04778003692626953,0.004546403884887695,0.001863718032836914,0.0007152557373046875,0.0011157989501953125,0.0018889904022216797,0.005453824996948242,0.008585691452026367,0.0004820823669433594,0.0066089630126953125,0.05801081657409668,0.019820690155029297
5/100000,0.43181920051574707,1.2803261280059814,0.06291818618774414,0.013262033462524414,0.019551515579223633,0.17848634719848633,0.008262395858764648,0.008409261703491211,0.010725259780883789,0.08610939979553223,0.1647038459777832,0.0245361328125,0.006803989410400391,0.0017707347869873047,0.0016949176788330078,0.00589299201965332,0.031095504760742188,0.04489612579345703,0.0033676624298095703,0.03732657432556152,0.5065665245056152,0.05336499214172363
5/1000000,3.943279504776001,12.621782064437866,0.670825719833374,0.1359081268310547,0.20839333534240723,1.7818892002105713,0.06459403038024902,0.06618928909301758,0.0724642276763916,0.7526612281799316,1.1672394275665283,0.17315268516540527,0.06737542152404785,0.025675058364868164,0.028652429580688477,0.05104494094848633,0.30738306045532227,0.381547212600708,0.027086973190307617,0.30611157417297363,4.8620007038116455,0.38617396354675293
5/10000000,39.2602014541626,,6.142531394958496,1.2918038368225098,1.8803205490112305,,0.6786582469940186,0.6666321754455566,0.7330577373504639,6.649336576461792,10.993899822235107,1.7200894355773926,0.6326708793640137,0.22589993476867676,0.24702048301696777,0.4624202251434326,2.9536004066467285,3.675494909286499,0.2553238868713379,2.8481838703155518,,3.636584758758545
10/1,0.005801200866699219,0.010305166244506836,0.010090351104736328,0.0016999244689941406,0.0006096363067626953,0.001898050308227539,0.0004868507385253906,0.0004363059997558594,0.0005743503570556641,0.0006992816925048828,0.0589296817779541,0.0019898414611816406,0.0008044242858886719,0.00035643577575683594,0.00040149688720703125,0.001219034194946289,0.001918792724609375,0.00669097900390625,0.000247955322265625,0.004107236862182617,0.005777597427368164,0.021263837814331055
10/10,0.006552696228027344,0.013251304626464844,0.010009288787841797,0.001889944076538086,0.0012919902801513672,0.00241851806640625,0.0006310939788818359,0.0006330013275146484,0.0006661415100097656,0.0007312297821044922,0.07017326354980469,0.0018913745880126953,0.0008242130279541016,0.0003535747528076172,0.0003800392150878906,0.0012247562408447266,0.0019538402557373047,0.005353212356567383,0.00021839141845703125,0.0038101673126220703,0.00509333610534668,0.018308401107788086
10/100,0.006220340728759766,0.011233806610107422,0.010167837142944336,0.001451730728149414,0.0006642341613769531,0.002154111862182617,0.0005025863647460938,0.0004837512969970703,0.0006337165832519531,0.0008227825164794922,0.07802700996398926,0.001970529556274414,0.0008840560913085938,0.0003666877746582031,0.00035452842712402344,0.001207590103149414,0.00475621223449707,0.008908748626708984,0.0002732276916503906,0.0045092105865478516,0.005877017974853516,0.019292593002319336
10/1000,0.014713764190673828,0.028116941452026367,0.01168060302734375,0.0015304088592529297,0.0009369850158691406,0.0038166046142578125,0.0006258487701416016,0.0005242824554443359,0.0006058216094970703,0.001262664794921875,0.061300039291381836,0.0020835399627685547,0.000990152359008789,0.00038123130798339844,0.00037217140197753906,0.001245737075805664,0.0022644996643066406,0.005915403366088867,0.00027060508728027344,0.00482630729675293,0.009629964828491211,0.018781423568725586
10/10000,0.08876633644104004,0.23083949089050293,0.01873779296875,0.0028111934661865234,0.003464221954345703,0.027754545211791992,0.0014159679412841797,0.0017015933990478516,0.0013267993927001953,0.01019740104675293,0.07502031326293945,0.0029375553131103516,0.0012302398681640625,0.00048422813415527344,0.0004703998565673828,0.0013644695281982422,0.004521608352661133,0.009841442108154297,0.0004336833953857422,0.00810098648071289,0.061254024505615234,0.026309967041015625
10/100000,0.7718467712402344,2.213247060775757,0.11543607711791992,0.0175015926361084,0.030112028121948242,0.3338000774383545,0.012009859085083008,0.01203608512878418,0.013615608215332031,0.11801934242248535,0.26383256912231445,0.023381710052490234,0.006182193756103516,0.0012481212615966797,0.0013055801391601562,0.004403591156005859,0.030541419982910156,0.06854772567749023,0.003354310989379883,0.05452561378479004,0.6309313774108887,0.07813906669616699
10/1000000,7.273144006729126,22.311675786972046,1.2294526100158691,0.20846319198608398,0.3322465419769287,3.4289236068725586,0.15952134132385254,0.15535306930541992,0.1604475975036621,1.4486618041992188,2.5508134365081787,0.2917931079864502,0.0732583999633789,0.037526845932006836,0.02698063850402832,0.048539161682128906,0.3353235721588135,0.7174642086029053,0.031991004943847656,0.4720132350921631,6.0983428955078125,0.6492688655853271
10/10000000,,,,,,,,,,,,,,,,,,,,,,
20/1,0.00642848014831543,0.011095046997070312,0.020419836044311523,0.0016453266143798828,0.0006012916564941406,0.001932382583618164,0.0004496574401855469,0.0004315376281738281,0.0005199909210205078,0.0007565021514892578,0.10953187942504883,0.0019576549530029297,0.0008332729339599609,0.00035572052001953125,0.0003457069396972656,0.00121307373046875,0.002000093460083008,0.0054242610931396484,0.00022292137145996094,0.00580596923828125,0.004923343658447266,0.018171310424804688
20/10,0.007887601852416992,0.014988422393798828,0.016902923583984375,0.0013959407806396484,0.0006258487701416016,0.0019464492797851562,0.0007410049438476562,0.0006835460662841797,0.0007867813110351562,0.000812530517578125,0.1344137191772461,0.002578258514404297,0.0008063316345214844,0.00035500526428222656,0.000400543212890625,0.0012412071228027344,0.0019397735595703125,0.00537419319152832,0.00021839141845703125,0.005739688873291016,0.005193471908569336,0.01945209503173828
20/100,0.01043558120727539,0.015993595123291016,0.020594120025634766,0.0013916492462158203,0.0007097721099853516,0.0034427642822265625,0.0005979537963867188,0.00048089027404785156,0.0005800724029541016,0.0008091926574707031,0.13521766662597656,0.0018677711486816406,0.0008623600006103516,0.0003592967987060547,0.0003502368927001953,0.0011548995971679688,0.0020751953125,0.005651712417602539,0.00023317337036132812,0.006074190139770508,0.0071010589599609375,0.020855188369750977
20/1000,0.02287769317626953,0.05634593963623047,0.02020859718322754,0.006270885467529297,0.0019381046295166016,0.008056163787841797,0.0007860660552978516,0.0007522106170654297,0.0008361339569091797,0.0020318031311035156,0.1371922492980957,0.0036611557006835938,0.0015811920166015625,0.0005910396575927734,0.0005502700805664062,0.0017247200012207031,0.0038840770721435547,0.008193254470825195,0.0003991127014160156,0.02448892593383789,0.013854026794433594,0.028891801834106445
20/10000,0.17156744003295898,0.48932838439941406,0.039933204650878906,0.005568742752075195,0.0058825016021728516,0.07847023010253906,0.0019500255584716797,0.0020601749420166016,0.0020635128021240234,0.02272820472717285,0.18877005577087402,0.006798267364501953,0.002416849136352539,0.00128936767578125,0.0009579658508300781,0.0017588138580322266,0.006275177001953125,0.02425694465637207,0.0005240440368652344,0.014508247375488281,0.09792947769165039,0.03871512413024902
20/100000,1.4976186752319336,4.253278970718384,0.312664270401001,0.03297615051269531,0.05565977096557617,0.6450095176696777,0.01980304718017578,0.020136356353759766,0.021198749542236328,0.2297201156616211,0.5681653022766113,0.03995943069458008,0.008212804794311523,0.002870321273803711,0.0029010772705078125,0.00595545768737793,0.0313413143157959,0.12530255317687988,0.0038466453552246094,0.09911966323852539,0.8941147327423096,0.1335296630859375
20/1000000,14.095228672027588,,2.29150128364563,0.375751256942749,0.5709640979766846,6.064186334609985,0.18663930892944336,0.2388453483581543,0.2321937084197998,2.1465904712677,4.064372539520264,0.3739345073699951,0.08177947998046875,0.027575969696044922,0.024760723114013672,0.04689455032348633,0.3063359260559082,1.1745429039001465,0.02741861343383789,0.7215747833251953,,1.194150447845459
20/10000000,,,,,,,,,,,,,,,,,,,,,,
30/1,0.007260560989379883,0.013643026351928711,0.023840904235839844,0.001524209976196289,0.0006182193756103516,0.001893758773803711,0.0004799365997314453,0.0004322528839111328,0.0005152225494384766,0.0006718635559082031,0.16114330291748047,0.002835512161254883,0.0015468597412109375,0.0005040168762207031,0.0005207061767578125,0.0018508434295654297,0.002772808074951172,0.009407281875610352,0.0005788803100585938,0.0130462646484375,0.0052738189697265625,0.016651630401611328
30/10,0.010452985763549805,0.0204315185546875,0.03492546081542969,0.0016257762908935547,0.0006482601165771484,0.0019800662994384766,0.0005133152008056641,0.00045180320739746094,0.000530242919921875,0.0007557868957519531,0.1685314178466797,0.0033016204833984375,0.00104522705078125,0.0006070137023925781,0.0004830360412597656,0.0016279220581054688,0.003103494644165039,0.008658885955810547,0.0002880096435546875,0.011633634567260742,0.0051479339599609375,0.02776193618774414
30/100,0.010887861251831055,0.018891334533691406,0.05639147758483887,0.0014450550079345703,0.0007445812225341797,0.002483367919921875,0.00051116943359375,0.00047326087951660156,0.0007536411285400391,0.0010428428649902344,0.20011091232299805,0.0021495819091796875,0.0009105205535888672,0.0003638267517089844,0.0003592967987060547,0.0012476444244384766,0.0020935535430908203,0.006345987319946289,0.000225067138671875,0.007882833480834961,0.005337953567504883,0.014976978302001953
30/1000,0.03071141242980957,0.06695079803466797,0.06774687767028809,0.0017156600952148438,0.0014388561248779297,0.008682489395141602,0.0006501674652099609,0.0006997585296630859,0.0007231235504150391,0.0035126209259033203,0.19266414642333984,0.0026967525482177734,0.0008604526519775391,0.0004773139953613281,0.00040650367736816406,0.0012738704681396484,0.002233743667602539,0.0070111751556396484,0.000278472900390625,0.01212620735168457,0.016899824142456055,0.017314910888671875
30/10000,0.2348804473876953,0.6252837181091309,0.07092499732971191,0.005202293395996094,0.007821798324584961,0.09357070922851562,0.0021009445190429688,0.0019981861114501953,0.0018510818481445312,0.028707265853881836,0.23513007164001465,0.009280681610107422,0.002028942108154297,0.0005865097045898438,0.0006186962127685547,0.0016186237335205078,0.005518913269042969,0.022336483001708984,0.00042939186096191406,0.016332626342773438,0.10864782333374023,0.035858869552612305
30/100000,2.1123147010803223,6.181593656539917,0.3923954963684082,0.043389081954956055,0.07710695266723633,0.9684300422668457,0.02778911590576172,0.02745652198791504,0.027530908584594727,0.3405721187591553,0.635098934173584,0.049054861068725586,0.00772547721862793,0.0028765201568603516,0.0029256343841552734,0.006083965301513672,0.030496835708618164,0.19522380828857422,0.003496408462524414,0.12921953201293945,1.1350805759429932,0.18494200706481934
30/1000000,20.950562000274658,,3.2470076084136963,0.5490081310272217,0.8175821304321289,9.581873655319214,0.28241395950317383,0.34918904304504395,0.3327946662902832,3.1092028617858887,5.838748216629028,0.5064389705657959,0.0696268081665039,0.024727344512939453,0.02436041831970215,0.05919790267944336,0.3106851577758789,1.7082102298736572,0.02689981460571289,0.9916574954986572,,1.7198872566223145
30/10000000,,,,,,,,,,,,,,,,,,,,,,
40/1,0.00805974006652832,0.016434669494628906,0.030087947845458984,0.0017235279083251953,0.0006132125854492188,0.002049684524536133,0.000476837158203125,0.0004942417144775391,0.0005316734313964844,0.0007174015045166016,0.23471903800964355,0.0023283958435058594,0.0009212493896484375,0.0006833076477050781,0.0004975795745849609,0.0015377998352050781,0.0027382373809814453,0.005670070648193359,0.00022149085998535156,0.00947427749633789,0.004925966262817383,0.015295028686523438
40/10,0.007575511932373047,0.016790390014648438,0.030308246612548828,0.0013899803161621094,0.0006687641143798828,0.0019783973693847656,0.0006334781646728516,0.00045609474182128906,0.0005309581756591797,0.0007331371307373047,0.25177812576293945,0.0023908615112304688,0.0008258819580078125,0.0004305839538574219,0.0005035400390625,0.0012276172637939453,0.002086162567138672,0.006109714508056641,0.00021529197692871094,0.009800910949707031,0.005460262298583984,0.01436471939086914
40/100,0.010039091110229492,0.02249598503112793,0.03085160255432129,0.0014278888702392578,0.0007236003875732422,0.0026221275329589844,0.0005216598510742188,0.0004892349243164062,0.0006189346313476562,0.0012173652648925781,0.24078607559204102,0.002058744430541992,0.0008263587951660156,0.0004191398620605469,0.0003905296325683594,0.001234292984008789,0.0020880699157714844,0.006512880325317383,0.00023674964904785156,0.010033130645751953,0.005336761474609375,0.016364336013793945
40/1000,0.03857684135437012,0.08054256439208984,0.03530597686767578,0.0017914772033691406,0.0016252994537353516,0.00922393798828125,0.0007202625274658203,0.0007555484771728516,0.00077056884765625,0.0026879310607910156,0.25475001335144043,0.0027761459350585938,0.0008623600006103516,0.0003819465637207031,0.0003714561462402344,0.0012712478637695312,0.0022144317626953125,0.007462024688720703,0.0002808570861816406,0.012477636337280273,0.015206336975097656,0.01669931411743164
40/10000,0.3029606342315674,0.8155744075775146,0.07605314254760742,0.004903316497802734,0.01007223129272461,0.12155842781066895,0.002470254898071289,0.0024394989013671875,0.0020291805267333984,0.03721976280212402,0.3070805072784424,0.008479595184326172,0.0013380050659179688,0.0004792213439941406,0.0005030632019042969,0.0013806819915771484,0.0043485164642333984,0.027417421340942383,0.00045180320739746094,0.021953105926513672,0.1305832862854004,0.04545092582702637
40/100000,2.768528699874878,8.022127866744995,0.6268479824066162,0.05583977699279785,0.10038256645202637,1.2945716381072998,0.03811526298522949,0.03608274459838867,0.03556060791015625,0.4287266731262207,0.825092077255249,0.062193870544433594,0.007868051528930664,0.0028908252716064453,0.002916574478149414,0.005948305130004883,0.030458688735961914,0.23718523979187012,0.003515958786010742,0.16825413703918457,1.3787696361541748,0.2443392276763916
40/1000000,28.502257585525513,,4.530606269836426,0.7191524505615234,1.059316635131836,12.12431788444519,0.3862590789794922,0.4802684783935547,0.3892085552215576,3.9925801753997803,7.746819734573364,0.6416037082672119,0.06962370872497559,0.02514791488647461,0.024601221084594727,0.05725598335266113,0.30178117752075195,2.1809816360473633,0.027636289596557617,1.2871513366699219,,2.184866189956665
40/10000000,,,,,,,,,,,,,,,,,,,,,,
